Amplitude,Frequency,Phase,Negative Peak,Peak to Peak,Positive Peak,Arithmetic Mean,RMS,Standard Dev,Variance,Kurtosis,Median,Mode,Skewness,Classe
20.369954,0.000706,-46.856719,-0.18088,-145.860081,359.311853,213.451772,48.304449,48.306686,2333.535947,3.893194,-3.656241,6.847456,0.563462,Open
2.163799,0.079906,122.01311,0.000338,-19.17278,39.412916,20.240136,5.586416,5.586737,31.211626,3.168698,0.041902,0.336614,-0.000137,Close
22.398513,0.000788,172.556018,-0.328586,-146.737248,361.155444,214.418196,47.836959,47.838802,2288.551018,3.949792,-4.378269,6.753816,0.63364,Open
20.592391,0.00079,174.206583,-0.115206,-143.289576,357.134126,213.84455,48.646375,48.649858,2366.808693,3.76163,-4.332699,4.921086,0.577344,Open
2.400043,0.081239,-61.064706,0.000487,-19.17278,39.412916,20.240136,5.854694,5.855178,34.283105,2.979434,0.036777,-0.057516,-2.65E-05,Close
22.328024,0.002896,87.161777,-0.021864,-143.181462,357.384003,214.202541,49.495405,49.499991,2450.249073,3.506993,-4.05223,5.132899,0.502473,Open
28.285977,0.000569,-13.145037,0.062743,-142.858704,357.862389,215.003684,48.293324,48.299226,2332.815266,3.851842,-3.774374,5.654187,0.594525,Open
49.169335,0.000893,78.578396,-1.956806,-147.409537,345.62307,198.213533,48.161007,48.130034,2316.500169,3.541209,-4.687158,6.392729,0.397667,Open
3.50717,0.089771,214.019302,0.001427,-15.614924,31.128228,15.513304,5.78097,5.782371,33.435813,2.684039,0.038358,0.416113,0.000421,Close
15.164121,0.002533,-94.56773,-6.429022,-135.617714,280.113128,144.495414,41.899715,41.418259,1715.472159,3.769503,-4.250278,11.441678,0.028972,Open
48.977432,0.00402,-37.732372,5.794553,-102.553894,336.147657,233.593763,60.860561,60.62921,3675.901097,5.758615,-7.945839,-26.920671,1.634471,Open
2.669453,0.081449,12.426059,0.001594,-16.916555,34.068949,17.152394,4.851909,4.853737,23.558763,3.478984,-0.109768,-0.052425,-0.001826,Close
25.253383,0.014655,-34.118059,-4.586022,-123.387267,402.840257,279.45299,55.472679,55.296613,3057.715355,6.97685,-15.561323,-36.776612,1.690697,Open
23.981456,0.004108,-186.872007,-1.296865,-106.028736,343.818823,237.790087,52.775153,52.767145,2784.371574,6.469872,-11.848123,-18.354936,1.634328,Open
2.092414,0.08544,126.732557,-0.003105,-19.212444,38.504846,19.292402,4.904195,4.90481,24.057156,3.247433,0.000855,1.0026,-0.000727,Close
24.542412,0.004155,-10.408825,-1.02141,-134.633144,371.553412,236.920268,50.422381,50.41745,2541.919222,6.228051,-11.378815,-10.162751,1.573953,Open
21.472341,0.000805,38.201515,1.204429,-136.415246,411.815769,275.400523,49.976547,49.966207,2496.621794,5.933872,-7.764005,-23.165909,1.437092,Open
1.715241,0.080187,-64.857487,-0.00057,-18.471779,37.525278,19.053499,4.995631,4.996007,24.960087,3.282402,-0.006968,-1.397777,-0.000278,Close
19.202181,0.000657,-167.522384,0.881001,-137.889659,413.130103,275.240444,46.670776,46.665651,2177.682979,5.792205,-5.672818,-11.884978,1.278093,Open
12.858936,0.000711,101.430416,0.629808,-113.028393,387.486638,274.458244,45.952363,45.950706,2111.467349,5.961134,-5.756811,-14.219301,1.294384,Open
13.013391,0.000991,-227.094338,0.141903,-135.331487,367.644759,232.313272,45.102382,45.104421,2034.408821,5.362123,-4.973113,-12.170492,1.075326,Open
1.655716,0.077409,-163.685303,0.000148,-30.290745,59.571455,29.28071,5.424239,5.424509,29.425301,4.007698,0.007895,-0.802874,0.000152,Close
13.969023,0.000981,-102.60278,-0.628331,-135.039259,351.593302,216.554044,45.007331,45.005345,2025.481061,5.25503,-5.622902,3.840096,1.056339,Open
1.823492,0.077449,52.722118,0.00017,-30.290745,59.571455,29.28071,5.469693,5.470007,29.920974,4.144963,0.009256,-0.802874,0.000216,Close
14.838316,0.000964,46.24114,-0.81086,-134.460259,350.795362,216.335102,44.688668,44.684088,1996.667678,5.027103,-5.543542,4.103908,0.960288,Open
17.549081,0.000542,-168.442628,-1.037287,-134.088619,350.214196,216.125577,45.368637,45.360153,2057.543445,5.110602,-5.987674,4.245988,0.990058,Open
21.919049,0.000523,101.729612,-1.234564,-134.380876,350.560922,216.180047,46.267319,46.255134,2139.537448,4.979842,-6.314509,4.090688,0.966416,Open
2.386546,0.079298,-131.549297,0.000314,-19.778847,39.152587,19.37374,5.210365,5.210917,27.153659,3.78343,0.011381,-0.006791,0.000385,Close
30.233275,0.000618,-91.348911,-2.231451,-135.195519,346.367025,211.171507,46.957791,46.910513,2200.596227,4.630706,-7.188204,5.083127,0.868675,Open
34.306306,0.000829,98.634507,-2.256569,-132.867545,313.760196,180.89265,48.781889,48.738577,2375.44884,4.014757,-7.91126,6.755742,0.790246,Open
3.553501,0.076373,-140.67992,0.000717,-18.041032,36.076145,18.035113,5.436686,5.438003,29.571878,3.692042,-0.001822,0.177421,0.00075,Close
24.988979,0.001557,56.247829,-6.120215,-132.526113,313.686511,181.160398,50.95944,50.608562,2561.226556,4.14626,-14.263478,7.064384,0.930758,Open
5.592714,0.076946,-6.741634,0.002012,-16.439844,32.799133,16.359289,4.644139,4.647297,21.597367,4.521171,0.009172,0.45171,-0.002938,Close
40.350732,0.005969,219.547442,-3.819801,-85.282377,273.728787,188.446411,57.646458,57.562609,3313.453996,5.430733,-17.570363,-15.481536,1.626794,Open
2.886453,0.093117,122.113985,-0.007225,-13.371917,26.786042,13.414125,4.806615,4.80842,23.120907,2.650798,0.029257,-1.452128,-0.004761,Close
30.764288,0.001093,71.882932,-6.245451,-130.175085,407.497332,277.322247,56.743837,56.413196,3182.448635,6.677081,-16.548725,-22.188292,1.550654,Open
22.385337,0.000589,-69.297152,1.6897,-126.525683,370.411994,243.886311,53.104636,53.085723,2818.094031,4.754933,-5.941321,-32.070624,1.106266,Open
2.418977,0.08095,133.849932,0.001956,-18.985347,37.285433,18.300087,5.241824,5.242482,27.483617,3.444736,0.04858,0.216651,-0.000873,Close
24.69328,0.000927,0.246702,-1.754941,-151.019583,345.729521,194.709938,48.18006,48.15326,2318.736407,4.17947,-8.211616,-0.627241,0.868327,Open
16.809556,0.001457,90.423485,0.338273,-151.989567,352.431133,200.441566,47.946845,47.949658,2299.169681,4.399277,-6.57187,-5.730647,0.974811,Open
19.540345,0.003785,-172.117805,0.354571,-145.853578,348.108935,202.255357,46.804509,46.806367,2190.835965,4.40472,-5.571932,-4.869459,0.878573,Open
1.763818,0.079889,125.91438,0.0003,-29.040101,57.091568,28.051467,5.220552,5.220879,27.257581,4.232624,0.024048,-1.35069,1.75E-05,Close
16.415117,0.004554,63.076704,-0.799838,-119.828802,320.557614,200.728813,46.621807,46.617644,2173.204711,4.609862,-7.557489,-25.264306,1.024118,Open
12.403859,0.004941,102.743485,0.781543,-119.389081,330.462669,211.073589,45.580718,45.576304,2077.199459,4.552403,-5.393879,-8.684086,0.977301,Open
1.451135,0.08815,39.12924,-1.46E-07,-29.040101,57.091568,28.051467,5.088364,5.088618,25.89403,4.053803,-0.001149,-0.779775,8.65E-05,Close
12.176966,0.003768,173.277749,-0.053701,-119.449229,330.567347,211.118118,44.598066,44.600412,1989.196788,4.710213,-5.065134,1.207853,0.955312,Open
1.364272,0.083837,88.390626,-1.68E-07,-19.169542,38.692494,19.522953,4.937925,4.938209,24.385907,3.222934,-0.003368,-0.016757,0.000341,Close
13.594994,0.005536,-67.692602,-0.067883,-120.529006,331.780345,211.251339,44.391567,44.394273,1970.851456,4.754982,-5.070935,3.888623,0.945829,Open
13.092847,0.003751,189.297643,-0.134258,-122.924187,334.514593,211.590406,43.986507,43.989575,1935.082716,4.918407,-5.146485,2.518785,1.003704,Open
1.59759,0.083777,28.923306,-2.42E-07,-18.028788,35.647965,17.619177,4.777663,4.778058,22.829837,3.114089,-0.015162,-1.096005,-0.000109,Close
16.513099,0.005868,-44.226645,-0.269161,-113.204638,324.668806,211.464168,43.035413,43.038563,1852.31787,5.236768,-5.053769,2.052788,1.102542,Open
17.159441,0.001633,-84.830345,-0.26209,-113.878007,324.643978,210.765971,41.382614,41.386876,1712.873484,5.159558,-4.298966,4.617045,1.030202,Open
2.317185,0.087159,144.679544,-4.31E-07,-14.594386,28.948294,14.353908,4.706097,4.70679,22.153876,2.937939,-0.01711,0.024502,-0.000418,Close
23.516206,0.001712,-81.964821,-1.12169,-107.015689,261.168689,154.153,39.992351,39.983926,1598.714309,4.260856,-4.38618,3.981004,0.83162,Open
24.265502,0.001615,66.59006,-2.349379,-95.041203,242.109487,147.068284,36.015509,35.951569,1292.515278,4.994812,-2.392569,0.592044,0.866016,Open
33.575125,0.031481,-132.924662,6.605496,-97.372161,238.132442,140.760281,46.836001,46.403241,2153.260794,3.274275,12.561878,25.266047,0.216691,Open
23.624557,0.029378,10.046622,6.099927,-99.176698,267.710485,168.533787,40.361167,39.907693,1592.623981,2.987905,14.036486,38.694202,-0.340565,Open
2.862169,0.084693,72.435721,-0.001914,-19.358297,38.342037,18.98374,5.378229,5.379254,28.936369,3.520702,0.001202,0.004432,0.001878,Close
14.507726,0.0029,109.713728,2.692786,-131.387216,281.212613,149.825397,40.645463,40.562349,1645.304143,3.2919,11.788434,16.249406,-0.171565,Open
17.55575,0.000572,-132.910392,-0.168364,-128.171654,281.675629,153.503976,38.65501,38.658853,1494.50688,3.997842,5.677195,14.074539,-0.069081,Open
2.84624,0.084307,-84.727159,-0.003464,-15.638224,31.098185,15.459961,5.870594,5.871153,34.470435,2.371455,0.046252,0.999305,0.000641,Close
9.264933,0.020895,-104.043643,-0.677438,-114.243417,282.940544,168.697127,36.454961,36.451753,1328.730289,4.518862,4.412247,6.006314,-0.083425,Open
2.972292,0.080381,-80.708102,0.000191,-17.206372,34.6559,17.449528,5.867078,5.867525,34.42785,2.499686,0.048649,0.294858,0.000187,Close
11.152109,0.001337,-123.727098,-1.012531,-126.499373,287.951741,161.452367,34.744499,34.732149,1206.322146,4.159859,2.573841,4.518669,-0.229202,Open
15.524414,0.000376,216.184776,-1.931572,-136.84541,264.331554,127.486144,35.12543,35.074337,1230.209086,3.518637,1.664839,20.431865,-0.347295,Open
1.788731,0.082926,111.280734,0.000487,-20.98969,41.678673,20.688983,5.134888,5.135168,26.369946,3.085078,-0.016772,-1.192321,6.10E-06,Close
20.311866,0.000372,31.55764,-2.050723,-143.024477,272.109747,129.08527,35.184599,35.12657,1233.875948,3.852959,0.542632,5.275335,-0.280223,Open
20.015292,0.00039,-187.696669,-1.984372,-145.060155,287.528338,142.468183,34.704249,34.649356,1200.577893,4.107462,1.340966,3.016939,-0.337482,Open
18.254254,0.000433,-53.420788,-2.275975,-146.755035,289.998751,143.243716,35.472018,35.401175,1253.243165,3.875554,0.661178,-0.305666,-0.33944,Open
1.409983,0.08216,-144.841865,0.001074,-20.98969,41.678673,20.688983,4.881591,4.881929,23.833228,3.194372,-0.032984,-0.775534,-0.00042,Close
18.312336,0.000845,99.902106,-1.900595,-148.458007,281.134991,132.676984,34.812156,34.762885,1208.458151,3.915116,1.390518,18.817313,-0.390065,Open
